"s","a","y"
"사랑을 했다 (LOVE SCENARIO)","iKON","2018년 베스트 가요 콜렉션"
"그날처럼","장덕철","2018년 베스트 가요 콜렉션"
"선물","멜로망스(MeloMance)","2018년 베스트 가요 콜렉션"
"모든 날, 모든 순간 (Every day, Every Moment)","폴킴(Paul Kim) CONNECT 아티스트","2018년 베스트 가요 콜렉션"
"뚜두뚜두 (DDU-DU DDU-DU)","BLACKPINK","2018년 베스트 가요 콜렉션"
"뿜뿜","모모랜드(MOMOLAND)","2018년 베스트 가요 콜렉션"
"You","멜로망스(MeloMance)","2018년 베스트 가요 콜렉션"
"그때 헤어지면 돼","로이킴","2018년 베스트 가요 콜렉션"
"Roller Coaster","청하","2018년 베스트 가요 콜렉션"
"instagram","DEAN(딘)","2018년 베스트 가요 콜렉션"
"지나오다","닐로(Nilo)","2018년 베스트 가요 콜렉션"
"Way Back Home","숀(SHAUN)","2018년 베스트 가요 콜렉션"
"여행","볼빨간사춘기","2018년 베스트 가요 콜렉션"
"미안해","양다일","2018년 베스트 가요 콜렉션"
"Bad Boy","Red Velvet (레드벨벳)","2018년 베스트 가요 콜렉션"
"주지마","로꼬 , 화사(Hwa Sa)","2018년 베스트 가요 콜렉션"
"별이 빛나는 밤","마마무(Mamamoo)","2018년 베스트 가요 콜렉션"
"밤편지","아이유(IU)","2018년 베스트 가요 콜렉션"
"Heart Shaker","TWICE (트와이스)","2018년 베스트 가요 콜렉션"
"꽃 길","BIGBANG","2018년 베스트 가요 콜렉션"
"What is Love?","TWICE (트와이스)","2018년 베스트 가요 콜렉션"
"Dance The Night Away","TWICE (트와이스)","2018년 베스트 가요 콜렉션"
"밤 (Time for the moon night)","여자친구(GFRIEND)","2018년 베스트 가요 콜렉션"
"비","폴킴(Paul Kim) CONNECT 아티스트","2018년 베스트 가요 콜렉션"
"기억의 빈자리","나얼(Na-Ul)","2018년 베스트 가요 콜렉션"
"Forever Young","BLACKPINK","2018년 베스트 가요 콜렉션"
"눈사람","정승환","2018년 베스트 가요 콜렉션"
"소나기 (Feat. 10cm)","용준형","2018년 베스트 가요 콜렉션"
"DNA","방탄소년단","2018년 베스트 가요 콜렉션"
"밤이 되니까","펀치 (Punch)","2018년 베스트 가요 콜렉션"
"좋니","윤종신","2018년 베스트 가요 콜렉션"
"My Way","이수","2018년 베스트 가요 콜렉션"
"LATATA","(여자)아이들","2018년 베스트 가요 콜렉션"
"피카부 (Peek-A-Boo)","Red Velvet (레드벨벳)","2018년 베스트 가요 콜렉션"
"가을 안부","먼데이 키즈(Monday Kiz)","2018년 베스트 가요 콜렉션"
"이 별","길구봉구","2018년 베스트 가요 콜렉션"
"all of my life","박원","2018년 베스트 가요 콜렉션"
"FAKE LOVE","방탄소년단","2018년 베스트 가요 콜렉션"
"붕붕 (Feat. 식케이) (Prod. GroovyRoom)","김하온(HAON)","2018년 베스트 가요 콜렉션"
"시차 (We Are) (Feat. 로꼬 & GRAY)","우원재","2018년 베스트 가요 콜렉션"
"그리워하다","비투비","2018년 베스트 가요 콜렉션"
"LIKEY","TWICE (트와이스)","2018년 베스트 가요 콜렉션"
"#첫사랑","볼빨간사춘기","2018년 베스트 가요 콜렉션"
"1도 없어","Apink (에이핑크)","2018년 베스트 가요 콜렉션"
"마지막처럼","BLACKPINK","2018년 베스트 가요 콜렉션"
"비도 오고 그래서 (Feat. 신용재)","헤이즈(HEIZE)","2018년 베스트 가요 콜렉션"
"열애중","벤","2018년 베스트 가요 콜렉션"
"주인공","선미","2018년 베스트 가요 콜렉션"
"빨간 맛 (Red Flavor)","Red Velvet (레드벨벳)","2018년 베스트 가요 콜렉션"
"좋아","민서 , 윤종신","2018년 베스트 가요 콜렉션"
"Jenga (Feat. Gaeko)","헤이즈(HEIZE)","2018년 베스트 가요 콜렉션"
"너나 해 (Egotistic)","마마무(Mamamoo)","2018년 베스트 가요 콜렉션"
"봄날","방탄소년단","2018년 베스트 가요 콜렉션"
"눈 (Feat. 이문세)","Zion.T","2018년 베스트 가요 콜렉션"
"첫눈처럼 너에게 가겠다","에일리(Ailee)","2018년 베스트 가요 콜렉션"
"짙어져","멜로망스(MeloMance)","2018년 베스트 가요 콜렉션"
"삐삐","아이유(IU)","2018년 베스트 가요 콜렉션"
"폰서트","10cm(십센치)","2018년 베스트 가요 콜렉션"
"빙글뱅글 (Bingle Bangle)","에이오에이(AOA)","2018년 베스트 가요 콜렉션"
"노력","박원","2018년 베스트 가요 콜렉션"
"Power Up","Red Velvet (레드벨벳)","2018년 베스트 가요 콜렉션"
"나의 사춘기에게","볼빨간사춘기","2018년 베스트 가요 콜렉션"
"비밀정원","오마이걸(OH MY GIRL)","2018년 베스트 가요 콜렉션"
"EVERYDAY","WINNER","2018년 베스트 가요 콜렉션"
"사이렌(Siren)","선미","2018년 베스트 가요 콜렉션"
"바보야","허각","2018년 베스트 가요 콜렉션"
"너 없는 시간들","다비치","2018년 베스트 가요 콜렉션"
"너 없인 안 된다","비투비","2018년 베스트 가요 콜렉션"
"REALLY REALLY","WINNER","2018년 베스트 가요 콜렉션"
"바코드 (Prod. GroovyRoom)","김하온(HAON) , 빈첸(VINXEN)","2018년 베스트 가요 콜렉션"
"답장","김동률","2018년 베스트 가요 콜렉션"
"동화","멜로망스(MeloMance)","2018년 베스트 가요 콜렉션"
"한(一)","(여자)아이들","2018년 베스트 가요 콜렉션"
"눈 떠보니 이별이더라","포맨","2018년 베스트 가요 콜렉션"
"좋았을걸","헤이즈(HEIZE)","2018년 베스트 가요 콜렉션"
"넋두리","닐로(Nilo)","2018년 베스트 가요 콜렉션"
"그때의 나, 그때의 우리","어반 자카파(Urban Zakapa)","2018년 베스트 가요 콜렉션"
"하루도 그대를 사랑하지 않은 적이 없었다","임창정","2018년 베스트 가요 콜렉션"
"SoulMate (Feat. 아이유)","지코(Zico)","2018년 베스트 가요 콜렉션"
"연애소설 (Feat. 아이유)","에픽하이 (EPIK HIGH)","2018년 베스트 가요 콜렉션"
"한숨","이하이","2018년 베스트 가요 콜렉션"
"Love U","청하","2018년 베스트 가요 콜렉션"
"빛나리","펜타곤","2018년 베스트 가요 콜렉션"
"BAAM","모모랜드(MOMOLAND)","2018년 베스트 가요 콜렉션"
"썸 탈꺼야","볼빨간사춘기","2018년 베스트 가요 콜렉션"
"Beautiful","Wanna One(워너원)","2018년 베스트 가요 콜렉션"
"북 (Prod.SLO)","Rohann (이로한) , 오담률(CHIN CHILLA)","2018년 베스트 가요 콜렉션"
"팔레트 (Feat. G-DRAGON)","아이유(IU)","2018년 베스트 가요 콜렉션"
"잊을만하면","Crush","2018년 베스트 가요 콜렉션"
"가을 타나 봐","바이브(Vibe)","2018년 베스트 가요 콜렉션"
"셋 셀테니 (1, 2, 3!)","승리","2018년 베스트 가요 콜렉션"
"욕심","멜로망스(MeloMance)","2018년 베스트 가요 콜렉션"
"Lonely (Feat. 태연)","종현 (JONGHYUN)","2018년 베스트 가요 콜렉션"
"어른","Sondia","2018년 베스트 가요 콜렉션"
"하루의 끝 (End of a day)","종현 (JONGHYUN)","2018년 베스트 가요 콜렉션"
"내가 더 나빠","헤이즈(HEIZE)","2018년 베스트 가요 콜렉션"
"별, 그대 (The Only Star)","황치열 CONNECT 아티스트","2018년 베스트 가요 콜렉션"
"가시나","선미","2018년 베스트 가요 콜렉션"
"잘 지내요","정승환","2018년 베스트 가요 콜렉션"
"다른사람을 사랑하고 있어","수지(SUZY)","2018년 베스트 가요 콜렉션"
"첫눈처럼 너에게 가겠다","에일리(Ailee)","2017년 베스트 가요 콜렉션"
"좋다고 말해","볼빨간사춘기","2017년 베스트 가요 콜렉션"
"밤편지","아이유(IU)","2017년 베스트 가요 콜렉션"
"좋니","윤종신","2017년 베스트 가요 콜렉션"
"비도 오고 그래서 (Feat. 신용재)","헤이즈(HEIZE)","2017년 베스트 가요 콜렉션"
"Beautiful","Crush","2017년 베스트 가요 콜렉션"
"팔레트 (Feat. G-DRAGON)","아이유(IU)","2017년 베스트 가요 콜렉션"
"REALLY REALLY","WINNER","2017년 베스트 가요 콜렉션"
"오랜 날 오랜 밤","악동뮤지션(AKMU)","2017년 베스트 가요 콜렉션"
"KNOCK KNOCK","TWICE (트와이스)","2017년 베스트 가요 콜렉션"
"사랑이 잘 (With 오혁)","아이유(IU)","2017년 베스트 가요 콜렉션"
"빨간 맛 (Red Flavor)","Red Velvet (레드벨벳)","2017년 베스트 가요 콜렉션"
"Stay With Me","찬열 (CHANYEOL) , 펀치 (Punch)","2017년 베스트 가요 콜렉션"
"마지막처럼","BLACKPINK","2017년 베스트 가요 콜렉션"
"처음부터 너와 나","볼빨간사춘기","2017년 베스트 가요 콜렉션"
"남이 될 수 있을까","볼빨간사춘기 , 스무살","2017년 베스트 가요 콜렉션"
"에라 모르겠다","BIGBANG","2017년 베스트 가요 콜렉션"
"Rookie","Red Velvet (레드벨벳)","2017년 베스트 가요 콜렉션"
"오늘 취하면 (Feat.창모) (Prod. SUGA)","SURAN (수란)","2017년 베스트 가요 콜렉션"
"Marry Me (With 구윤회)","마크툽(Maktub)","2017년 베스트 가요 콜렉션"
"널 너무 모르고","헤이즈(HEIZE)","2017년 베스트 가요 콜렉션"
"가시나","선미","2017년 베스트 가요 콜렉션"
"All I Wanna Do (K) (Feat. Hoody, Loco)","박재범(Jay Park)","2017년 베스트 가요 콜렉션"
"시차 (We Are) (Feat. 로꼬 & GRAY)","우원재","2017년 베스트 가요 콜렉션"
"BLUE MOON (Prod. GroovyRoom)","효린 CONNECT 아티스트 , 창모(CHANGMO)","2017년 베스트 가요 콜렉션"
"New Face","싸이 (PSY)","2017년 베스트 가요 콜렉션"
"SIGNAL","TWICE (트와이스)","2017년 베스트 가요 콜렉션"
"무제(無題) (Untitled, 2014)","G-DRAGON","2017년 베스트 가요 콜렉션"
"심술","볼빨간사춘기","2017년 베스트 가요 콜렉션"
"I Miss You","소유 (SOYOU)","2017년 베스트 가요 콜렉션"
"오빠야","신현희와김루트","2017년 베스트 가요 콜렉션"
"Decalcomanie (데칼코마니)","마마무(Mamamoo)","2017년 베스트 가요 콜렉션"
"저 별","헤이즈(HEIZE)","2017년 베스트 가요 콜렉션"
"Why Don’t You Know (Feat. 넉살)","청하","2017년 베스트 가요 콜렉션"
"YESTERDAY","블락비(Block B)","2017년 베스트 가요 콜렉션"
"이쁘다니까","에디킴(Eddy Kim)","2017년 베스트 가요 콜렉션"
"TOMBOY","혁오 (HYUKOH)","2017년 베스트 가요 콜렉션"
"선물","멜로망스(MeloMance)","2017년 베스트 가요 콜렉션"
"우리집을 못 찾겠군요 (feat. 볼빨간사춘기)","매드 클라운(Mad Clown)","2017년 베스트 가요 콜렉션"
"매일 듣는 노래 (A Daily Song)","황치열 CONNECT 아티스트","2017년 베스트 가요 콜렉션"
"소나기","아이오아이(I.O.I)","2017년 베스트 가요 콜렉션"
"Fine","태연 (TAEYEON)","2017년 베스트 가요 콜렉션"
"이 지금","아이유(IU)","2017년 베스트 가요 콜렉션"
"I LUV IT","싸이 (PSY)","2017년 베스트 가요 콜렉션"
"썸 탈꺼야","볼빨간사춘기","2017년 베스트 가요 콜렉션"
"all of my life","박원","2017년 베스트 가요 콜렉션"
"You(=I)","볼빨간사춘기","2017년 베스트 가요 콜렉션"
"NEVER","국민의 아들","2017년 베스트 가요 콜렉션"
"넘어와 (Feat. 백예린)","DEAN(딘)","2017년 베스트 가요 콜렉션"
"Artist","지코(Zico)","2017년 베스트 가요 콜렉션"
"봄날","방탄소년단","2017년 베스트 가요 콜렉션"
"부담이 돼 (Feat. 휘인 of 마마무)","정키(Jung Key)","2017년 베스트 가요 콜렉션"
"에너제틱 (Energetic)","Wanna One(워너원)","2017년 베스트 가요 콜렉션"
"LAST DANCE","BIGBANG","2017년 베스트 가요 콜렉션"
"미치고 싶다","한동근","2017년 베스트 가요 콜렉션"
"나로 말할 것 같으면 (Yes I am)","마마무(Mamamoo)","2017년 베스트 가요 콜렉션"
"노래","Zion.T","2017년 베스트 가요 콜렉션"
"Who Are You","샘김 (Sam Kim)","2017년 베스트 가요 콜렉션"
"가을 아침","아이유(IU)","2017년 베스트 가요 콜렉션"
"당신의 밤 (feat. 오혁)","황광희 X 개코","2017년 베스트 가요 콜렉션"
"맞지?","언니쓰","2017년 베스트 가요 콜렉션"
"아름다워","창모(CHANGMO)","2017년 베스트 가요 콜렉션"
"얼굴 찌푸리지 말아요","하이라이트(Highlight)","2017년 베스트 가요 콜렉션"
"첫 눈","정준일","2017년 베스트 가요 콜렉션"
"이 바보야","정승환","2017년 베스트 가요 콜렉션"
"DINOSAUR","악동뮤지션(AKMU)","2017년 베스트 가요 콜렉션"
"소원","어반 자카파(Urban Zakapa)","2017년 베스트 가요 콜렉션"
"내 눈에만 보여","10cm(십센치)","2017년 베스트 가요 콜렉션"
"이런 엔딩","아이유(IU)","2017년 베스트 가요 콜렉션"
"FIVE","Apink (에이핑크)","2017년 베스트 가요 콜렉션"
"비행운","문문(MoonMoon)","2017년 베스트 가요 콜렉션"
"이 소설의 끝을 다시 써보려 해","한동근","2017년 베스트 가요 콜렉션"
"사랑하지 않은 것처럼","버즈(Buzz)","2017년 베스트 가요 콜렉션"
"나의 사춘기에게","볼빨간사춘기","2017년 베스트 가요 콜렉션"
"11:11","태연 (TAEYEON)","2017년 베스트 가요 콜렉션"
"나야 나 (PICK ME)","PRODUCE 101(프로듀스 101)","2017년 베스트 가요 콜렉션"
"지나쳐 (Feat. DEAN)","로꼬","2017년 베스트 가요 콜렉션"
"She's a Baby","지코(Zico)","2017년 베스트 가요 콜렉션"
"BERMUDA TRIANGLE (Feat. Crush, DEAN)","지코(Zico)","2017년 베스트 가요 콜렉션"
"FINGERTIP","여자친구(GFRIEND)","2017년 베스트 가요 콜렉션"
"Blue","볼빨간사춘기","2017년 베스트 가요 콜렉션"
"그런 밤","어반 자카파(Urban Zakapa)","2017년 베스트 가요 콜렉션"
"LONELY","씨스타(Sistar)","2017년 베스트 가요 콜렉션"
"행복한 척","수지(SUZY)","2017년 베스트 가요 콜렉션"
"폰서트","10cm(십센치)","2017년 베스트 가요 콜렉션"
"꽃길 (Prod. By ZICO)","세정 (구구단)","2017년 베스트 가요 콜렉션"
"연애소설 (Feat. 아이유)","에픽하이 (EPIK HIGH)","2017년 베스트 가요 콜렉션"
"귀를 기울이면 (LOVE WHISPER)","여자친구(GFRIEND)","2017년 베스트 가요 콜렉션"
"N분의 1 (Feat. 다이나믹듀오)","넉살(Nucksal) , 한해 , 조우찬 , RYNO(라이노)","2017년 베스트 가요 콜렉션"
"Sunday (feat. 헤이즈, 박재범)","그루비룸 (GroovyRoom)","2017년 베스트 가요 콜렉션"
"혼자","어반 자카파(Urban Zakapa)","2017년 베스트 가요 콜렉션"
"Would U","Red Velvet (레드벨벳)","2017년 베스트 가요 콜렉션"
"싸운날","볼빨간사춘기","2017년 베스트 가요 콜렉션"
"MOVIE","비투비","2017년 베스트 가요 콜렉션"
"달콤한 빈말 (Feat. 바버렛츠)","백아연","2017년 베스트 가요 콜렉션"
"노력","박원","2017년 베스트 가요 콜렉션"
"Complex (feat. G-DRAGON)","Zion.T","2017년 베스트 가요 콜렉션"
"유후 (You, Who?)","에릭남(Eric Nam) , 전소미","2017년 베스트 가요 콜렉션"
"LOVE ME LOVE ME","WINNER","2017년 베스트 가요 콜렉션"
"좋아해(bye)","CHEEZE(치즈)","2017년 베스트 가요 콜렉션"
"CHEER UP","TWICE (트와이스)","2016년 베스트 가요 콜렉션"
"시간을 달려서 (Rough)","여자친구(GFRIEND)","2016년 베스트 가요 콜렉션"
"널 사랑하지 않아","어반 자카파(Urban Zakapa)","2016년 베스트 가요 콜렉션"
"우주를 줄게","볼빨간사춘기","2016년 베스트 가요 콜렉션"
"D (half moon) (Feat. 개코)","DEAN(딘)","2016년 베스트 가요 콜렉션"
"You Are My Everything","거미","2016년 베스트 가요 콜렉션"
"이 사랑","다비치","2016년 베스트 가요 콜렉션"
"내가 저지른 사랑","임창정","2016년 베스트 가요 콜렉션"
"돌아오지마 (Feat. 용준형 of 비스트)","헤이즈(HEIZE)","2016년 베스트 가요 콜렉션"
"ALWAYS","윤미래","2016년 베스트 가요 콜렉션"
"말해! 뭐해?","케이윌","2016년 베스트 가요 콜렉션"
"너 그리고 나 (Navillera)","여자친구(GFRIEND)","2016년 베스트 가요 콜렉션"
"어디에도","엠씨더맥스(M.C THE MAX)","2016년 베스트 가요 콜렉션"
"너는 나 나는 너","지코(Zico)","2016년 베스트 가요 콜렉션"
"TT","TWICE (트와이스)","2016년 베스트 가요 콜렉션"
"Why So Lonely","원더걸스","2016년 베스트 가요 콜렉션"
"하늘바라기 (feat. 하림)","정은지","2016년 베스트 가요 콜렉션"
"Rain","태연 (TAEYEON)","2016년 베스트 가요 콜렉션"
"휘파람","BLACKPINK","2016년 베스트 가요 콜렉션"
"러시안 룰렛 (Russian Roulette)","Red Velvet (레드벨벳)","2016년 베스트 가요 콜렉션"
"Day Day (Feat. 박재범) (Prod. by GRAY)","비와이(BewhY)","2016년 베스트 가요 콜렉션"
"잊어버리지마 (feat. 태연)","Crush","2016년 베스트 가요 콜렉션"
"봄이 좋냐??","10cm(십센치)","2016년 베스트 가요 콜렉션"
"꿈처럼","벤","2016년 베스트 가요 콜렉션"
"Bye bye my blue","백예린","2016년 베스트 가요 콜렉션"
"쏘쏘","백아연","2016년 베스트 가요 콜렉션"
"나만 안되는 연애","볼빨간사춘기","2016년 베스트 가요 콜렉션"
"너였다면","정승환","2016년 베스트 가요 콜렉션"
"And July (feat. DEAN, DJ Friz)","헤이즈(HEIZE)","2016년 베스트 가요 콜렉션"
"넌 is 뭔들","마마무(Mamamoo)","2016년 베스트 가요 콜렉션"
"자격지심 (Feat. 은하 of 여자친구)","박경(블락비)","2016년 베스트 가요 콜렉션"
"Dream (Prod. by 박근태)","수지(SUZY) , 백현(BAEKHYUN)","2016년 베스트 가요 콜렉션"
"Everytime","첸 (CHEN) , 펀치 (Punch)","2016년 베스트 가요 콜렉션"
"그대라는 사치","한동근","2016년 베스트 가요 콜렉션"
"목요일 밤 (feat. 빈지노)","어반 자카파(Urban Zakapa)","2016년 베스트 가요 콜렉션"
"Forever (Prod. by GRAY)","비와이(BewhY)","2016년 베스트 가요 콜렉션"
"한숨","이하이","2016년 베스트 가요 콜렉션"
"사랑이 뭔데","서현진 , 유승우","2016년 베스트 가요 콜렉션"
"너무너무너무","아이오아이(I.O.I)","2016년 베스트 가요 콜렉션"
"Toy","블락비(Block B)","2016년 베스트 가요 콜렉션"
"불장난","BLACKPINK","2016년 베스트 가요 콜렉션"
"I Like That","씨스타(Sistar)","2016년 베스트 가요 콜렉션"
"같은 곳에서","소녀온탑","2016년 베스트 가요 콜렉션"
"RE-BYE","악동뮤지션(AKMU)","2016년 베스트 가요 콜렉션"
"Why","태연 (TAEYEON)","2016년 베스트 가요 콜렉션"
"내 입술 따뜻한 커피처럼 (Feat. 이성경) (Prod. by 박근태)","에디킴(Eddy Kim)","2016년 베스트 가요 콜렉션"
"네 생각","존 박(John Park)","2016년 베스트 가요 콜렉션"
"다시 너를","매드 클라운(Mad Clown) , 김나영","2016년 베스트 가요 콜렉션"
"숨","박효신 CONNECT 아티스트","2016년 베스트 가요 콜렉션"
"벚꽃이 지면","아이오아이(I.O.I)","2016년 베스트 가요 콜렉션"
"구르미 그린 달빛","거미","2016년 베스트 가요 콜렉션"
"Decalcomanie (데칼코마니)","마마무(Mamamoo)","2016년 베스트 가요 콜렉션"
"봄인가 봐 (Spring Love)","에릭남(Eric Nam) , 웬디(WENDY)","2016년 베스트 가요 콜렉션"
"제주도의 푸른 밤","태연 (TAEYEON)","2016년 베스트 가요 콜렉션"
"사랑하자","SG워너비","2016년 베스트 가요 콜렉션"
"Monster","EXO","2016년 베스트 가요 콜렉션"
"Shut Up (feat. 유희열)","언니쓰","2016년 베스트 가요 콜렉션"
"If You","에일리(Ailee)","2016년 베스트 가요 콜렉션"
"puzzle","C JAMM , 비와이(BewhY)","2016년 베스트 가요 콜렉션"
"다시 사랑한다면 (니글니글 버터플라이)","김필(Kim Feel)","2016년 베스트 가요 콜렉션"
"맘 편히 (Comfortable)","사이먼 도미닉 , ONE , GRAY(그레이)","2016년 베스트 가요 콜렉션"
"심술","볼빨간사춘기","2016년 베스트 가요 콜렉션"
"Don't Cry (우리 동네 음악대장)","하현우(국카스텐)","2016년 베스트 가요 콜렉션"
"11:11","태연 (TAEYEON)","2016년 베스트 가요 콜렉션"
"호랑나비 (Feat. Gill, 리듬파워, 김흥국)","보이비","2016년 베스트 가요 콜렉션"
"다정하게, 안녕히","성시경","2016년 베스트 가요 콜렉션"
"Good Luck","에이오에이(AOA)","2016년 베스트 가요 콜렉션"
"너를 위해","첸 (CHEN) , 백현(BAEKHYUN) , 시우민(XIUMIN)","2016년 베스트 가요 콜렉션"
"Good For You","에릭남(Eric Nam)","2016년 베스트 가요 콜렉션"
"어쩌면 나","로이킴","2016년 베스트 가요 콜렉션"
"회상","장범준","2016년 베스트 가요 콜렉션"
"여름밤에 우린","스탠딩 에그(Standing Egg)","2016년 베스트 가요 콜렉션"
"Dancing King","유재석 , EXO","2016년 베스트 가요 콜렉션"
"붐바야","BLACKPINK","2016년 베스트 가요 콜렉션"
"잠은 다 잤나봐요","소유 (SOYOU) , 유승우","2016년 베스트 가요 콜렉션"
"All I Wanna Do (K) (Feat. Hoody, Loco)","박재범(Jay Park)","2016년 베스트 가요 콜렉션"
"[19금]				니가 알던 내가 아냐 (Prod. by GRAY)","사이먼 도미닉 , ONE , 지투(G2) , 비와이(BewhY)","2016년 베스트 가요 콜렉션"
"피 땀 눈물","방탄소년단","2016년 베스트 가요 콜렉션"
"공감 (feat. 서영은)","정준영","2016년 베스트 가요 콜렉션"
"어떻게 지내","Crush","2016년 베스트 가요 콜렉션"
"L.I.E","EXID","2016년 베스트 가요 콜렉션"
"사랑에 빠졌죠 (당신만이)","장범준","2016년 베스트 가요 콜렉션"
"PICK ME","PRODUCE 101(프로듀스 101)","2016년 베스트 가요 콜렉션"
"그게 뭐라고","케이윌 , 매드 클라운(Mad Clown)","2016년 베스트 가요 콜렉션"
"세 단어","젝스키스","2016년 베스트 가요 콜렉션"
"그런 밤","어반 자카파(Urban Zakapa)","2016년 베스트 가요 콜렉션"
"Shut Up & Groove (feat. DEAN)","헤이즈(HEIZE)","2016년 베스트 가요 콜렉션"
"사람들이 움직이는 게","악동뮤지션(AKMU)","2016년 베스트 가요 콜렉션"
"Yum-Yum (얌얌)","7 go up","2016년 베스트 가요 콜렉션"
"그대, 바람이 되어","엠씨더맥스(M.C THE MAX)","2016년 베스트 가요 콜렉션"
"사랑이었다 (Feat. 루나 of f(x))","지코(Zico)","2016년 베스트 가요 콜렉션"
"그대를 잊는다는 건","다비치","2016년 베스트 가요 콜렉션"
"못참겠어 (Feat. 로꼬)","에릭남(Eric Nam)","2016년 베스트 가요 콜렉션"
"How Can I Love You","XIA(준수)","2016년 베스트 가요 콜렉션"
"우아해 (Woo Ah)","Crush","2016년 베스트 가요 콜렉션"
"에라 모르겠다","BIGBANG","2016년 베스트 가요 콜렉션"
"Stay With Me","찬열 (CHANYEOL) , 펀치 (Punch)","2016년 베스트 가요 콜렉션"
"21","DEAN(딘)","2016년 베스트 가요 콜렉션"
"내가 설렐 수 있게","Apink (에이핑크)","2016년 베스트 가요 콜렉션"
"이젠 잊기로 해요","여은 [멜로디데이]","2016년 베스트 가요 콜렉션"
"뱅뱅뱅 (BANG BANG BANG)","BIGBANG","2015년 베스트 가요 콜렉션"
"BAE BAE","BIGBANG","2015년 베스트 가요 콜렉션"
"LOSER","BIGBANG","2015년 베스트 가요 콜렉션"
"CALL ME BABY","EXO","2015년 베스트 가요 콜렉션"
"꺼내 먹어요","Zion.T","2015년 베스트 가요 콜렉션"
"같은 시간 속의 너","나얼(Na-Ul)","2015년 베스트 가요 콜렉션"
"이럴거면 그러지말지 (feat. Young K)","백아연","2015년 베스트 가요 콜렉션"
"레옹","이유 갓지(GOD G) 않은 이유(박명수, 아이유)","2015년 베스트 가요 콜렉션"
"우리 사랑하지 말아요","BIGBANG","2015년 베스트 가요 콜렉션"
"심쿵해 (Heart Attack)","에이오에이(AOA)","2015년 베스트 가요 콜렉션"
"IF YOU","BIGBANG","2015년 베스트 가요 콜렉션"
"마음","아이유(IU)","2015년 베스트 가요 콜렉션"
"다른 남자 말고 너","미쓰 에이(miss A)","2015년 베스트 가요 콜렉션"
"Lion Heart","소녀시대 (GIRLS' GENERATION)","2015년 베스트 가요 콜렉션"
"사랑에 빠지고 싶다","정승환","2015년 베스트 가요 콜렉션"
"SHAKE IT","씨스타(Sistar)","2015년 베스트 가요 콜렉션"
"LOVE ME RIGHT","EXO","2015년 베스트 가요 콜렉션"
"오늘부터 우리는 (Me gustas tu)","여자친구(GFRIEND)","2015년 베스트 가요 콜렉션"
"또 다시 사랑","임창정","2015년 베스트 가요 콜렉션"
"우연히 봄","로꼬 , 유주(여자친구)","2015년 베스트 가요 콜렉션"
"와리가리","혁오 (HYUKOH)","2015년 베스트 가요 콜렉션"
"그냥 (Just)","Zion.T , Crush","2015년 베스트 가요 콜렉션"
"어머님이 누구니 (feat. 제시)","박진영","2015년 베스트 가요 콜렉션"
"아예 (Ah Yeah)","EXID","2015년 베스트 가요 콜렉션"
"Puss (Prod.By 라이머)","지민 , 아이언","2015년 베스트 가요 콜렉션"
"View","SHINee (샤이니)","2015년 베스트 가요 콜렉션"
"두사랑 (feat. 매드클라운)","다비치","2015년 베스트 가요 콜렉션"
"맙소사","황태지(황광희, 태양, 지드래곤)","2015년 베스트 가요 콜렉션"
"음오아예 (Um Oh Ah Yeh)","마마무(Mamamoo)","2015년 베스트 가요 콜렉션"
"겁 (feat. 태양)","MINO(송민호)","2015년 베스트 가요 콜렉션"
"Me You (feat. 백예린 Of 15&)","산이(San E)","2015년 베스트 가요 콜렉션"
"WE LIKE 2 PARTY","BIGBANG","2015년 베스트 가요 콜렉션"
"맨정신","BIGBANG","2015년 베스트 가요 콜렉션"
"PARTY","소녀시대 (GIRLS' GENERATION)","2015년 베스트 가요 콜렉션"
"Ice Cream Cake","Red Velvet (레드벨벳)","2015년 베스트 가요 콜렉션"
"I (feat. 버벌진트)","태연 (TAEYEON)","2015년 베스트 가요 콜렉션"
"취향저격","iKON","2015년 베스트 가요 콜렉션"
"화 (feat. 진실 Of Mad Soul Child) (Fire)","매드 클라운(Mad Clown)","2015년 베스트 가요 콜렉션"
"Remember","Apink (에이핑크)","2015년 베스트 가요 콜렉션"
"사월의 눈","허각","2015년 베스트 가요 콜렉션"
"환청 (feat. 나쑈)","장재인","2015년 베스트 가요 콜렉션"
"오빠차","인크레더블(Incredivle) , 타블로(Tablo) , 지누션(Jinusean)","2015년 베스트 가요 콜렉션"
"예이 (YeY)","비스트(Beast)","2015년 베스트 가요 콜렉션"
"유리구슬 (Glass Bead)","여자친구(GFRIEND)","2015년 베스트 가요 콜렉션"
"스폰서 ($ponsor)","으뜨거따시(하하, 자이언티)","2015년 베스트 가요 콜렉션"
"Bad","인피니트(Infinite)","2015년 베스트 가요 콜렉션"
"거북선 (feat. 팔로알토)","Ja Mezz , Andup (앤덥) , MINO(송민호)","2015년 베스트 가요 콜렉션"
"꼭 어제","XIA(준수)","2015년 베스트 가요 콜렉션"
"꽃 (feat. 타블로 Of 에픽하이)","XIA(준수)","2015년 베스트 가요 콜렉션"
"My Type (Prod. By 버벌진트)","제시(Jessi) , 치타(CHEETAH) , 강남","2015년 베스트 가요 콜렉션"
"어깨","소유 (SOYOU) , 권정열","2015년 베스트 가요 콜렉션"
"또 운다 또","다비치","2015년 베스트 가요 콜렉션"
