"","곡명","아티스트","장르","연도"
"922","마지막 승부","김민교","OST / 전체",1994
"923","그대의 향기","유영진","가요 / R&B/소울",1994
"924","그냥걸었어","임종환","가요 / 발라드",1994
"925","넌 언제나","모노","가요 / 댄스",1994
"926","비창","이상우","가요 / 발라드",1994
"927","나는 문제 없어","황규영","가요 / 댄스",1994
"928","그 후로 오랫동안","신승훈","가요 / 발라드",1994
"929","혼자만의 사랑","김태영","가요 / 발라드",1994
"930","수퍼맨의 비애 (Feat. Proud Marry)","DJ DOC","가요 / 댄스",1994
"931","너 이길 원했던 이유","쿨 (COOL)","가요 / 댄스",1994
"932","날 떠나지마","박진영","가요 / 댄스",1994
"933","립스틱 짙게 바르고","임주리","가요 / 트로트",1994
"934","내가 널 닮아갈 때","노이즈 (Noise)","가요 / 댄스",1994
"935","멀어져간 사람아","박상민","가요 / 락",1994
"936","그대 사랑안에 머물러","김정민","가요 / 발라드",1994
"937","난 너에게","민들레","가요 / 발라드",1994
"938","하얀 겨울","미스터 투 (Mr.2)","가요 / 발라드",1994
"939","늪","조관우","가요 / 발라드",1994
"940","기억속의 멜로디","오태호","가요 / 발라드",1994
"941","오래된 친구","빛과 소금","가요 / 전체",1994
"942","어려워 정말 (Extended Ver.)","닥터 레게 (Dr. Reggae)","가요 / 댄스",1994
"943","일어나","김광석","가요 / 블루스/포크",1994
"944","너 없는 동안","김원준","가요 / 댄스",1994
"945","낮선 사람들","낯선사람들","가요 / 전체",1994
"946","그대와 함께","더 블루 (The Blue)","가요 / 전체",1994
"947","아름다운 너에게","강수지","가요 / 발라드",1994
"948","세상 밖으로","김종서","가요 / 락",1994
"949","난 단지 나일뿐","미스터 투 (Mr.2)","가요 / 락",1994
"950","시작되는 연인들을 위해 ( Duet with 류금덕 )","이원진","가요 / 발라드",1994
"951","그리움으로 지는 너","코코 (CoCo)","가요 / 전체",1994
"952","다른 모습","Kiky","가요 / 전체",1994
"953","짧은 다짐","김원준","가요 / 댄스",1994
"954","사랑을 그대 품안에","최진영","가요 / 발라드",1994
"955","W.H.I.T.E","화이트","가요 / 발라드",1994
"956","잘못된 만남","김건모","가요 / 댄스",1995
"957","Come Back Home","서태지와 아이들","가요 / 랩/힙합",1995
"958","이 밤의 끝을 잡고","솔리드","가요 / R&B/소울",1995
"959","천일동안","이승환","가요 / 발라드",1995
"960","굴레를 벗어나 (Mo Funk Ver.)","듀스 (Deux)","가요 / 랩/힙합",1995
"961","난 행복해","이소라","가요 / 발라드",1995
"962","내게로","장혜진","가요 / 발라드",1995
"963","슬픈 인연","015B","가요 / 발라드",1995
"964","사랑을 할꺼야","녹색지대","가요 / 발라드",1995
"965","슬프도록 아름다운...","K2 (김성면)","가요 / 발라드",1995
"966","상상속의 너","노이즈 (Noise)","가요 / 댄스",1995
"967","안녕하세요","삐삐 밴드","가요 / 락",1995
"968","부디","윤종신","가요 / 발라드",1995
"969","머피의 법칙","DJ DOC","가요 / 댄스",1995
"970","날개 잃은 천사","룰라 (Roo' Ra)","가요 / 댄스",1995
"971","이브의 경고","박미경","가요 / 댄스",1995
"972","고요속의 외침","알이에프 (R.ef)","가요 / 댄스",1995
"973","아담과 이브는 사과를 깨물었다","조규찬","가요 / 발라드",1995
"974","청혼가","박진영","가요 / 댄스",1995
"975","끝난건가요","김현철","OST / 전체",1995
"976","나만의 친구","솔리드","가요 / R&B/소울",1995
"977","넌 남이 아냐","EOS (이오에스)","가요 / 댄스",1995
"978","어떤 그리움","이은미","가요 / 발라드",1995
"979","이별공식","알이에프 (R.ef)","가요 / 댄스",1995
"980","사랑의 서약","한동준","가요 / 발라드",1995
"981","살다보면","권진원","가요 / 블루스/포크",1995
"982","날 위한 이별","김혜림","가요 / 발라드",1995
"983","내가 만일","안치환","가요 / 블루스/포크",1995
"984","너의 곁에 있고 싶어","신효범","가요 / 발라드",1995
"985","너를 품에 안으면","컬트","가요 / 발라드",1995
"986","널 보낸 후에","최재훈","가요 / 발라드",1995
"987","슬픈언약식","김정민","가요 / 발라드",1995
"988","나 어릴적 꿈","터보","가요 / 댄스",1995
"989","내가 날 버린 이유","베이시스 (Basis)","가요 / 전체",1995
"990","산다는건 다 그런게 아니겠니","여행스케치","가요 / 전체",1995
"991","(이런XX) 뭐야 이건","지니","가요 / 락",1995
"992","나를","김현철","가요 / 발라드",1995
"993","가질수 없는 너","뱅크","가요 / 발라드",1995
"994","흔들리지마","강수지","가요 / 전체",1995
"995","내일이 오면","양수경","가요 / 발라드",1995
"996","포기하지마","성진우","가요 / 전체",1995
"997","친구를 위해","더 블루 (The Blue)","가요 / 발라드",1995
"998","세상은 나에게","김원준","가요 / 댄스",1995
"999","시간이 흐른뒤에","피노키오","가요 / 발라드",1995
"1000","왕자와 병사들","모자이크","가요 / 발라드",1995
"1001","플라스틱 신드롬 (Plastic Syndrome)","김종서","가요 / 락",1995
"1002","학창시절","이현석","가요 / 락",1995
"1003","상심","알이에프 (R.ef)","가요 / 댄스",1995
"1004","끊어진 반지","최연제","가요 / 발라드",1995
"1005","유년시절의 기행 (Duet)","아낌없이 주는 나무","가요 / 발라드",1995
"1006","달팽이","패닉","가요 / 락",1996
"1007","널 사랑하겠어","동물원","가요 / 블루스/포크",1996
"1008","말하자면","김성재","가요 / 랩/힙합",1996
"1009","내 눈물 모아","서지원","가요 / 발라드",1996
"1010","취중진담","전람회","가요 / 발라드",1996
"1011","전사의 후예-폭력시대","H.O.T.","가요 / 댄스",1996
"1012","꿍따리 샤바라","클론 (CLON)","가요 / 댄스",1996
"1013","내가 너의 곁에 잠시 살았다는 걸","김연우","가요 / 발라드",1996
"1014","하늘만 허락한 사랑","엄정화","가요 / 발라드",1996
"1015","3!4!","룰라 (Roo' Ra)","가요 / 댄스",1996
"1016","넌 나의 처음이자 마지막이야","솔리드","가요 / R&B/소울",1996
"1017","스피드","김건모","가요 / 댄스",1996
"1018","여름이야기","DJ DOC","가요 / 랩/힙합",1996
"1019","여우야(女雨夜)","더 클래식 (The Classic)","가요 / 전체",1996
"1020","완전한 사랑","장혜진","가요 / 발라드",1996
"1021","귀천도애","김민종","가요 / 발라드",1996
"1022","정 (위험한 이별)","영턱스클럽","가요 / 댄스",1996
"1023","환생","윤종신","가요 / 발라드",1996
"1024","시대유감","서태지와 아이들","가요 / 락",1996
"1025","좋아좋아","일기예보","가요 / 전체",1996
"1026","천생연분","솔리드","가요 / 댄스",1996
"1027","Bow Wow","아이돌 ","가요 / 댄스",1996
"1028","Good Bye","서태지와 아이들","가요 / 발라드",1996
"1029","이방인","전람회","가요 / 발라드",1996
"1030","콩깍지","015B","가요 / 락",1996
"1031","사자후","이현도","가요 / 랩/힙합",1996
"1032","처음 느낌 그대로","이소라","가요 / 발라드",1996
"1033","책임져","언타이틀 (Untitle)","가요 / 댄스",1996
"1034","UFO","패닉","가요 / 락",1996
"1035","Twist King","터보","가요 / 댄스",1996
"1036","우리의 밤은 당신의 낮보다 아름답다","코나","가요 / 전체",1996
"1037","영원히 내게","안상수","가요 / 트로트",1996
"1038","준비 없는 이별","녹색지대","가요 / 발라드",1996
"1039","나에게로의 초대","정경화","가요 / 락",1996
"1040","아주 가끔은","신해철","OST / 한국영화",1996
"1041","작은 기다림","쿨 (COOL)","가요 / 전체",1996
"1042","조조할인","이문세","가요 / 전체",1996
"1043","잊을 수 없는 너","최재훈","가요 / 발라드",1996
"1044","愛人 (애인)","김정민","가요 / 발라드",1996
"1045","어떤가요","이정봉","가요 / 발라드",1996
"1046","후회없는 사랑","포지션","가요 / 발라드",1996
"1047","혼자만의 겨울","강수지","가요 / 전체",1996
"1048","널 위한거야","미스미스터 (Mis=Mr)","가요 / 발라드",1996
"1049","늘 지금처럼","이예린","가요 / 전체",1996
"1050","7년간의 사랑","화이트","가요 / 발라드",1996
"1051","가면놀이","벅 (Buck)","가요 / 댄스",1996
"1052","미녀와 야수 (OK?OK!)","DJ DOC","가요 / 댄스",1996
"1053","I Miss You","서지원","가요 / 발라드",1996
"1054","천상유애 (天上有愛)","룰라 (Roo' Ra)","가요 / 댄스",1996
"1055","왜그래","김현철","가요 / 발라드",1996
"1056","나를 슬프게 하는 사람들","김경호","가요 / 락",1997
"1057","애송이의 사랑","양파","가요 / 발라드",1997
"1058","그녀는 예뻤다","박진영","가요 / 댄스",1997
"1059","아름다운 구속","김종서","가요 / 락",1997
"1060","다시 만나줘","업타운 (UPTOWN)","가요 / 랩/힙합",1997
"1061","배반의 장미","엄정화","가요 / 댄스",1997
"1062","가족","이승환","가요 / 발라드",1997
"1063","가위","유승준","가요 / 댄스",1997
"1064","DOC와 춤을","DJ DOC","가요 / 댄스",1997
"1065","행복","H.O.T.","가요 / 댄스",1997
"1066","Here, I Stand For You(Original Version)","넥스트 (N.EX.T)","가요 / 락",1997
"1067","그래","디바 (Diva)","가요 / 댄스",1997
"1068","말해줘(Featuring 엄정화)","지누션","가요 / 랩/힙합",1997
"1069","사나이 가는 길 (부제:폼생폼사)","젝스키스","가요 / 댄스",1997
"1070","개성","리아","가요 / 락",1997
"1071","뿌요뿌요","유피 (UP)","가요 / 댄스",1997
"1072","맨발의 청춘","벅 (Buck)","가요 / 댄스",1997
"1073","영원","조관우","가요 / 발라드",1997
"1074","해변의 여인","쿨 (COOL)","가요 / 댄스",1997
"1075","Remember","포지션","가요 / 발라드",1997
"1076","나만의 슬픔","김돈규","가요 / 발라드",1997
"1077","오늘도 난","이승철","가요 / 댄스",1997
"1078","그때 또 다시","임창정","가요 / 발라드",1997
"1079","Bus안에서","자자 (ZaZa)","가요 / 댄스",1997
"1080","16/20 (열여섯 스물)","주주클럽 (JuJu Club)","가요 / 락",1997
"1081","기억해줘","이소라","가요 / 발라드",1997
"1082","애수","진시몬","가요 / 트로트",1997
"1083","운명","쿨 (COOL)","가요 / 댄스",1997
"1084","비오는 거리","이승훈","가요 / 전체",1997
"1085","사랑을 위하여","김종환","가요 / 트로트",1997
"1086","그땐 그랬지","카니발","가요 / 락",1997
"1087","꿈의 대화","장혜진","가요 / 발라드",1997
"1088","청혼","이소라","가요 / 전체",1997
"1089","날개","언타이틀 (Untitle)","가요 / 댄스",1997
"1090","도시탈출","클론 (CLON)","가요 / 댄스",1997
"1091","연인","룰라 (Roo' Ra)","가요 / 댄스",1997
"1092","졸업","전람회","가요 / 발라드",1997
"1093","연정","젝스키스","가요 / 댄스",1997
"1094","독립선언","이뉴 (Enue)","가요 / 댄스",1997
"1095","현명한 선택","소찬휘","가요 / 락",1997
"1096","암연","고한우","가요 / 발라드",1997
"1097","괜찮아","녹색지대","가요 / 발라드",1997
"1098","헤어진 다음날","이현우","가요 / 발라드",1997
"1099","Forever","안재욱","가요 / 발라드",1997
"1100","재회","K2 (김성면)","가요 / 락",1997
"1101","타인","영턱스클럽","가요 / 댄스",1997
"1102","라일락이 질때","이선희","가요 / 발라드",1997
"1103","믿어지지 않는 얘기","조규찬","가요 / 발라드",1997
"1104","사랑해 (D.O Original Mix)","이현도","가요 / 랩/힙합",1997
"1105","용서","이예린","가요 / 댄스",1997
"1106","Poison","엄정화","가요 / 댄스",1998
"1107","그녀와의 이별","김현정","가요 / 댄스",1998
"1108","To Heaven","조성모","가요 / 발라드",1998
"1109","Dreams Come True","S.E.S.","가요 / 댄스",1998
"1110","나나나","유승준","가요 / 댄스",1998
"1111","애상","쿨 (COOL)","가요 / 댄스",1998
"1112","믿음","이소라","가요 / 발라드",1998
"1113","내 남자 친구에게","핑클 (Fin.K.L)","가요 / 댄스",1998
"1114","커플","젝스키스","가요 / 댄스",1998
"1115","Honey","박진영","가요 / 댄스",1998
"1116","내 낡은 서랍속의 바다","패닉","가요 / 락",1998
"1117","행복한 나를","에코 (ECO)","가요 / 발라드",1998
"1118","Love Love","비쥬 (Bijou)","가요 / 전체",1998
"1119","밀랍천사","자우림","가요 / 락",1998
"1120","지킬수 없는 약속","신승훈","가요 / 발라드",1998
"1121","일상으로의 초대(Radio Mix)","신해철","가요 / 락",1998
"1122","왜불러","디바 (Diva)","가요 / 댄스",1998
"1123","애인이 생겼어요","터보","가요 / 댄스",1998
"1124","P.S I Love You","박정현","가요 / 발라드",1998
"1125","뻐꾸기 둥지위로 날아간 새","김건모","가요 / 댄스",1998
"1126","나와 같다면","김장훈","가요 / 발라드",1998
"1127","알고 싶어요!","양파","가요 / 발라드",1998
"1128","사람이 꽃보다 아름다워","안치환","가요 / 블루스/포크",1998
"1129","십년이 지나도","박진영","가요 / 발라드",1998
"1130","비","김정민","가요 / 발라드",1998
"1131","거꾸로 강을 거슬러 오르는 저 힘찬 연어들 처럼","강산에","가요 / 락",1998
"1132","착한 사랑","김민종","가요 / 발라드",1998
"1133","사랑을 위하여","김종환","가요 / 트로트",1998
"1134","('Cause) I'm Your Girl","S.E.S.","가요 / 댄스",1998
"1135","난그래","리아","가요 / 락",1998
"1136","진심","김광진","가요 / 발라드",1998
"1137","Every Body","진주","가요 / 댄스",1998
"1138","나의 사랑 천상에서도","김경호","가요 / 락",1998
"1139","내게 다시","더더 (THETHE)","가요 / 락",1998
"1140","Epilogue(에필로그)","김종서","가요 / 락",1998
"1141","배려","김동률","가요 / 발라드",1998
"1142","해에게서 소년에게","넥스트 (N.EX.T)","가요 / 락",1998
"1143","Road Fighter","젝스키스","가요 / 댄스",1998
"1144","회상 (December)","터보","가요 / 전체",1998
"1145","할수있어","엔알지 (NRG)","가요 / 댄스",1998
"1146","세상이 그대를 속일지라도","김장훈","가요 / 발라드",1998
"1147","보낼수밖에 없는 난","소찬휘","가요 / 락",1998
"1148","눈물","리아","가요 / 락",1998
"1149","Blue Rain","핑클 (Fin.K.L)","가요 / 발라드",1998
"1150","외출","최재훈","가요 / 발라드",1998
"1151","사랑한 후에","신성우","가요 / 락",1998
"1152","비원 (悲願)","박상민","가요 / 락",1998
"1153","루비 (슬픈 눈물)","핑클 (Fin.K.L)","가요 / 전체",1998
"1154","혼자한 사랑","김현정","가요 / 댄스",1998
"1155","열맞춰!(Line Up)","H.O.T.","가요 / 댄스",1998
"1156","불멸의 사랑","조성모","가요 / 발라드",1999
"1157","열정","유승준","가요 / 댄스",1999
"1158","어머님께","지오디 (god)","가요 / 발라드",1999
"1159","오직 너뿐인 나를…","이승철","가요 / 발라드",1999
"1160","T.O.P(Twinkling Of Paradise)","신화","가요 / 댄스",1999
"1161","영원한 사랑","핑클 (Fin.K.L)","가요 / 댄스",1999
"1162","몰라","엄정화","가요 / 댄스",1999
"1163","ADDIO","양파","가요 / 발라드",1999
"1164","신부에게","유리상자","가요 / 발라드",1999
"1165","되돌아온 이별","김현정","가요 / 댄스",1999
"1166","하루 하루","타샤니 (Tashannie)","가요 / R&B/소울",1999
"1167","1TYM","원타임 (1TYM)","가요 / 랩/힙합",1999
"1168","마지막 사랑","박기영","가요 / 발라드",1999
"1169","남자 이야기","허니 패밀리 (Honey Family)","가요 / 랩/힙합",1999
"1170","For Your Soul","조성모","가요 / 발라드",1999
"1171","만남","KYT (코요태)","가요 / 댄스",1999
"1172","미절 (Misery)","쿨 (COOL)","가요 / 댄스",1999
"1173","사랑보다 깊은 상처","임재범","가요 / 발라드",1999
"1174","돌아와","클론 (CLON)","가요 / 댄스",1999
"1175","너를 사랑해","S.E.S.","가요 / 댄스",1999
"1176","미안해 널 미워해","자우림","가요 / 락",1999
"1177","여전히 아름다운지","김연우","가요 / 발라드",1999
"1178","그녀의 연인에게... ＃Story Ⅰ","K2 (김성면)","가요 / 발라드",1999
"1179","너희가 힙합을 아느냐?","드렁큰 타이거","가요 / 랩/힙합",1999
"1180","우리는 Y.G FAMILY","Y.G Family","가요 / 랩/힙합",1999
"1181","달려라 자전거","델리 스파이스 (Deli Spice)","가요 / 락",1999
"1182","19금
					
					이야기 속으로","조pd (ZoPD)","가요 / 랩/힙합",1999
"1183","Tell Me, Tell Me","샵 (S#arp)","가요 / 댄스",1999
"1184","Win Win","브로스 (Bros)","가요 / 랩/힙합",1999
"1185","부메랑","김건모","가요 / 댄스",1999
"1186","Shut Up","유승준","가요 / 댄스",1999
"1187","그대는 모릅니다","이승환","가요 / 발라드",1999
"1188","순정","KYT (코요태)","가요 / 댄스",1999
"1189","Fever","조pd (ZoPD)","가요 / 랩/힙합",1999
"1190","It's You","더더 (THETHE)","가요 / 락",1999
"1191","니가 진짜로 원하는게 머야","신해철","가요 / 락",1999
"1192","아이야!(I YAH!) - SONG","H.O.T.","가요 / 댄스",1999
"1193","Lying","샵 (S#arp)","가요 / 댄스",1999
"1194","I'm Still Loving You (사랑해 당신을 OST)","두리안","가요 / 전체",1999
"1195","난 널 원해","드렁큰 타이거","가요 / 랩/힙합",1999
"1196","비정(非情)","김경호","가요 / 락",1999
"1197","시작","박기영","가요 / 발라드",1999
"1198","관찰","지오디 (god)","가요 / 댄스",1999
"1199","부담","백지영","가요 / 댄스",1999
"1200","세가지 소원","이승환","가요 / 발라드",1999
"1201","FESTIVAL","엄정화","가요 / 댄스",1999
"1202","호기심","한스밴드","가요 / 댄스",1999
"1203","내 남은 사랑을 위해","홍경민","가요 / 발라드",1999
"1204","Happy Birthday To You","권진원","가요 / 전체",1999
"1205","Gimme! Gimme!","컨츄리 꼬꼬","가요 / 댄스",1999
"1206","아시나요","조성모","가요 / 발라드",2000
"1207","거짓말","지오디 (god)","가요 / 발라드",2000
"1208","ID: PEACE B","보아 (BoA)","가요 / 댄스",2000
"1209","Dash","백지영","가요 / 댄스",2000
"1210","성인식","박지윤","가요 / 댄스",2000
"1211","바보","박효신","가요 / 발라드",2000
"1212","울트라 맨이야","서태지","가요 / 락",2000
"1213","Run To You","DJ DOC","가요 / 랩/힙합",2000
"1214","다 줄꺼야 (Acoustic Version)","조규만","가요 / 발라드",2000
"1215","내게 오는길","성시경","가요 / 전체",2000
"1216","흔들린 우정","홍경민","가요 / 댄스",2000
"1217","멍","김현정","가요 / 댄스",2000
"1218","어제처럼","제이 (J.ae)","가요 / 발라드",2000
"1219","Now","핑클 (Fin.K.L)","가요 / 댄스",2000
"1220","가시나무","조성모","가요 / 발라드",2000
"1221","초련","클론 (CLON)","가요 / 댄스",2000
"1222","해석남녀","쿨 (COOL)","가요 / 댄스",2000
"1223","Tears","소찬휘","가요 / 전체",2000
"1224","기도","정일영","OST / 드라마",2000
"1225","와","이정현","가요 / 댄스",2000
"1226","힘을 내요, 미스터 김","롤러코스터","가요 / 락",2000
"1227","오! 가니","컨츄리 꼬꼬","가요 / 댄스",2000
"1228","I Believe","이수영","가요 / 발라드",2000
"1229","Twilight Zone","S.E.S.","가요 / 댄스",2000
"1230","White","핑클 (Fin.K.L)","가요 / 댄스",2000
"1231","고백","박혜경","가요 / 락",2000
"1232","한(Come a come)","샤크라","가요 / 댄스",2000
"1233","PASSION","KYT (코요태)","가요 / 댄스",2000
"1234","너를 위해","임재범","가요 / 발라드",2000
"1235","해줄 수 없는 일","박효신","가요 / 발라드",2000
"1236","Why","베이비복스 1기 (Baby V.O.X)","가요 / 댄스",2000
"1237","애수","지오디 (god)","가요 / 발라드",2000
"1238","매직 카펫 라이드","자우림","가요 / 락",2000
"1239","섹시한 남자","스페이스 A","가요 / 댄스",2000
"1240","사랑해 그리고 기억해","지오디 (god)","가요 / 발라드",2000
"1241","주문을 걸어","박혜경","가요 / 락",2000
"1242","환희(It`s Been Raining Since You Let Me)-Song","H.O.T.","가요 / 댄스",2000
"1243","Rain","이적","가요 / 발라드",2000
"1244","Only One","신화","가요 / 댄스",2000
"1245","엄마의 일기","왁스 (Wax)","가요 / 발라드",2000
"1246","Up & Down","디바 (Diva)","가요 / 댄스",2000
"1247","쾌지나 칭칭","원타임 (1TYM)","가요 / 랩/힙합",2000
"1248","너를 보내고","YB (윤도현 밴드)","가요 / 발라드",2000
"1249","lie","화요비","가요 / 발라드",2000
"1250","하루 (Original Ver.)","김범수","가요 / 발라드",2000
"1251","Blue Sky","박기영","가요 / 락",2000
"1252","비젼","유승준","가요 / 댄스",2000
"1253","사랑은 아무나 하나","태진아","가요 / 트로트",2000
"1254","Annie","윤종신","가요 / 발라드",2000
"1255","혼잣말","김장훈","가요 / 발라드",2000
"1256","벌써 일년","브라운 아이즈","가요 / 발라드",2001
"1257","I Love You","포지션","가요 / 발라드",2001
"1258","당신은 모르실거야","핑클 (Fin.K.L)","가요 / 발라드",2001
"1259","미안해요","김건모","가요 / 발라드",2001
"1260","난 여자가 있는데","박진영","가요 / 전체",2001
"1261","또 한번 사랑은 가고","이기찬","가요 / 발라드",2001
"1262","화장을 고치고","왁스 (Wax)","가요 / 발라드",2001
"1263","점보 맘보","쿨 (COOL)","가요 / 댄스",2001
"1264","길","지오디 (god)","가요 / 발라드",2001
"1265","늦은 후회","보보","가요 / 발라드",2001
"1266","찾길 바래","유승준","가요 / 댄스",2001
"1267","날 닮은 너","임창정","가요 / 발라드",2001
"1268","PASSION","KYT (코요태)","가요 / 댄스",2001
"1269","감싸 안으며(SHOW ME YOUR LOVE)","S.E.S.","가요 / 전체",2001
"1270","니가 필요해","지오디 (god)","가요 / 댄스",2001
"1271","인형 (With 신혜성)","이지훈","가요 / 발라드",2001
"1272","오빠","왁스 (Wax)","가요 / 댄스",2001
"1273","I Love You","차태현","가요 / 댄스",2001
"1274","파란","KYT (코요태)","가요 / 댄스",2001
"1275","Sweety","샵 (S#arp)","가요 / 댄스",2001
"1276","새","싸이 (Psy)","가요 / 댄스",2001
"1277","잘가","자두","가요 / 댄스",2001
"1278","가져가","홍경민","가요 / 락",2001
"1279","Good Life","드렁큰 타이거","가요 / 랩/힙합",2001
"1280","백전무패","클릭비 (Click-B)","가요 / 락",2001
"1281","처음처럼","성시경","가요 / 발라드",2001
"1282","스치듯 안녕","이수영","가요 / 발라드",2001
"1283","짱가","김건모","가요 / 댄스",2001
"1284","빗속의 여인","김건모","가요 / 댄스",2001
"1285","늘 지금처럼","핑클 (Fin.K.L)","가요 / 발라드",2001
"1286","인형","베이비복스 1기 (Baby V.O.X)","가요 / 댄스",2001
"1287","북극성","강타 (KANGTA)","가요 / 발라드",2001
"1288","딱이야","디바 (Diva)","가요 / 댄스",2001
"1289","눈물에 얼굴을 묻는다","장나라","가요 / 발라드",2001
"1290","떠난 너","김현정","가요 / 댄스",2001
"1291","꿈을 모아서 (Just In Love)","S.E.S.","가요 / 댄스",2001
"1292","축복","강성훈","가요 / 발라드",2001
"1293","세상끝까지","다나 (DANA)","가요 / 댄스",2001
"1294","Diamond","다나 (DANA)","가요 / 댄스",2001
"1295","웃기네","하늘","가요 / 댄스",2001
"1296","First Love","죠앤","가요 / 댄스",2001
"1297","순수","죠앤","가요 / 발라드",2001
"1298","햇살 좋은 날","죠앤","가요 / 댄스",2001
"1299","선물","유엔 (UN)","가요 / 발라드",2001
"1300","사계","거북이","가요 / 랩/힙합",2001
"1301","아로하","쿨 (COOL)","가요 / 발라드",2001
"1302","시간이 흐른 뒤","윤미래","가요 / R&B/소울",2001
"1303","추락","백지영","가요 / 댄스",2001
"1304","내 입술...따뜻한 커피처럼","샵 (S#arp)","가요 / 전체",2001
"1305","파도","유엔 (UN)","가요 / 댄스",2001
"1306","Never Ending Story","부활","가요 / 락",2002
"1307","내생에 봄날은...","캔 (Can)","가요 / 발라드",2002
"1308","비몽","KYT (코요태)","가요 / 댄스",2002
"1309","No. 1","보아 (BoA)","가요 / 댄스",2002
"1310","Perfect Man","신화","가요 / 댄스",2002
"1311","난 남자야","박지윤","가요 / 댄스",2002
"1312","단칼 (Dance)","김현정","가요 / 댄스",2002
"1313","12월32일","별","가요 / 발라드",2002
"1314","사랑은 언제나 목마르다","유미 (Youme)","가요 / 발라드",2002
"1315","낭만 고양이","체리 필터 (Cherry Filter)","가요 / 락",2002
"1316","우린 제법 잘 어울려요","성시경","가요 / 전체",2002
"1317","I BELIEVE ( 엽기적인 그녀 OST )","신승훈","가요 / 발라드",2002
"1318","점점","브라운 아이즈","가요 / R&B/소울",2002
"1319","Break Away","빅마마 (Big Mama)","가요 / 발라드",2002
"1320","붙잡고도","노을","가요 / 발라드",2002
"1321","낙원 (Feat. 이재훈)","싸이 (Psy)","가요 / 전체",2002
"1322","사랑 Two","윤도현","가요 / 락",2002
"1323","나쁜남자","비","가요 / 댄스",2002
"1324","사랑해도 헤어질 수 있다면...","신승훈","가요 / 발라드",2002
"1325","Just A Feeling (Original Ver.)","S.E.S.","가요 / 댄스",2002
"1326","영원","핑클 (Fin.K.L)","가요 / 발라드",2002
"1327","4월 이야기 (April Story)","장나라","가요 / 전체",2002
"1328","Heaven","김현성","가요 / 발라드",2002
"1329","Remember","악동클럽","가요 / R&B/소울",2002
"1330","착각의 늪","박경림","가요 / 댄스",2002
"1331","한 사람을 사랑했네","한경일","가요 / 발라드",2002
"1332","콩가","컨츄리 꼬꼬","가요 / 댄스",2002
"1333","대화가 필요해","자두","가요 / 전체",2002
"1334","Someday","제이워크 (J-Walk)","가요 / 발라드",2002
"1335","끝이 아니기를...","바이브","가요 / R&B/소울",2002
"1336","동경소녀","김광진","가요 / 전체",2002
"1337","라라라","이수영","가요 / 발라드",2002
"1338","천국에서 내린 비","듀크","가요 / 댄스",2002
"1339","감기","이기찬","가요 / 발라드",2002
"1340","Again","쥬얼리 (Jewelry)","가요 / 댄스",2002
"1341","내게로 와","체리 필터 (Cherry Filter)","가요 / 락",2002
"1342","안 되나요..(부제:화양연화)","휘성 (Realslow)","가요 / 발라드",2002
"1343","여름아! 부탁해","인디고","가요 / 댄스",2002
"1344","안녕이란 말대신","비","가요 / 댄스",2002
"1345","꿈에","박정현","가요 / 발라드",2002
"1346","넌 감동이었어","성시경","가요 / 발라드",2002
"1347","좋을텐데","성시경","가요 / 전체",2002
"1348","뉴욕스타일","MC 스나이퍼","가요 / 랩/힙합",2002
"1349","챔피언","싸이 (Psy)","가요 / 댄스",2002
"1350","서시","엠씨더맥스 (M.C THE MAX)","가요 / 락",2002
"1351","파애(破愛)","엠씨더맥스 (M.C THE MAX)","가요 / 발라드",2002
"1352","잠시만 안녕 (Pop Ver.)","엠씨더맥스 (M.C THE MAX)","가요 / 발라드",2002
"1353","Valenti","보아 (BoA)","가요 / 댄스",2002
"1354","Every Heart","보아 (BoA)","가요 / 전체",2002
"1355","To My Love","윤미래","가요 / R&B/소울",2002
"1356","10 MINUTES","이효리","가요 / 댄스",2003
"1357","정말 사랑했을까","브라운 아이드 소울 (Brown Eyed Soul)","가요 / R&B/소울",2003
"1358","보고싶다","김범수","가요 / 발라드",2003
"1359","와줘..","SE7EN","가요 / R&B/소울",2003
"1360","어쩌다...","윤건","가요 / R&B/소울",2003
"1361","With me","휘성 (Realslow)","가요 / R&B/소울",2003
"1362","태양을 피하는 방법","비","가요 / R&B/소울",2003
"1363","아틀란티스 소녀 (Atlantis Princess)","보아 (BoA)","가요 / 댄스",2003
"1364","그랬나봐","김형중","가요 / 발라드",2003
"1365","너의 결혼식(Wedding)","신화","가요 / 댄스",2003
"1366","애송이","렉시 (Lexy)","가요 / 랩/힙합",2003
"1367","소주 한잔","임창정","가요 / 발라드",2003
"1368","Hit Song","엔알지 (NRG)","가요 / 댄스",2003
"1369","나도 여자랍니다","장나라","가요 / 전체",2003
"1370","고백","델리 스파이스 (Deli Spice)","가요 / 락",2003
"1371","결혼을 할거라면","쿨 (COOL)","가요 / 댄스",2003
"1372","Good Bye","이수영","가요 / 발라드",2003
"1373","니가 참 좋아","쥬얼리 (Jewelry)","가요 / 댄스",2003
"1374","나의 사랑 나의 신부","유엔 (UN)","가요 / 댄스",2003
"1375","리쌍 부르쓰","리쌍 (Leessang)","가요 / 랩/힙합",2003
"1376","Miracle","유엔 (UN)","가요 / 발라드",2003
"1377","Loveholic","러브홀릭 (Loveholic)","가요 / 락",2003
"1378","0％","지오디 (god)","가요 / 댄스",2003
